Time,Violation,Snapshot,Track_ID,Plate,Location
2026-01-26 20:18:56,triple_riding,snapshots/triple_riding\triple_20260126_201855.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:14:04,triple_riding,snapshots/triple_riding\triple_20260224_211404.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:23:21,helmetless,helmetless_snaps\helmetless_20260224_212321.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:23:27,helmetless,helmetless_snaps\helmetless_20260224_212327.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:23:32,helmetless,helmetless_snaps\helmetless_20260224_212332.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:23:38,helmetless,helmetless_snaps\helmetless_20260224_212338.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:23:44,helmetless,helmetless_snaps\helmetless_20260224_212344.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:23:50,helmetless,helmetless_snaps\helmetless_20260224_212350.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:26:51,helmetless,helmetless_snaps\helmetless_20260224_212651.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:27:44,helmetless,helmetless_snaps\helmetless_20260224_212744.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:27:51,helmetless,helmetless_snaps\helmetless_20260224_212751.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:29:19,helmetless,helmetless_snaps\helmetless_20260224_212919.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:29:27,helmetless,helmetless_snaps\helmetless_20260224_212927.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:29:34,helmetless,helmetless_snaps\helmetless_20260224_212934.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:31:08,helmetless,helmetless_snaps\helmetless_20260224_213108.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:31:13,helmetless,helmetless_snaps\helmetless_20260224_213113.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:31:19,helmetless,helmetless_snaps\helmetless_20260224_213119.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:31:28,helmetless,helmetless_snaps\helmetless_20260224_213128.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:33:11,helmetless,helmetless_snaps\helmetless_20260224_213311.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:33:55,triple_riding,snapshots/triple_riding\triple_20260224_213355.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:37:26,triple_riding,snapshots/triple_riding\triple_20260224_213726.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:37:34,triple_riding,snapshots/triple_riding\triple_20260224_213734.jpg,NA,UNKNOWN,"Saranathan Junction, Trichy"
2026-02-24 21:37:34,wrong_way,snapshots/triple_riding\wrong_20260224_21374.jpeg",NA,UNKOWN,"Saranathan Junction, Trichy"
